country_code,country_name,region,year,income_level,pop,urban_percent,national_alb,urban_alb
MYS,Malaysia,East Asia & Pacific,2020,Upper middle income,32366,77,97,100
MDV,Maldives,South Asia,2015,Upper middle income,455,39,99,99
MDV,Maldives,South Asia,2020,Upper middle income,541,41,100,100
MLI,Mali,Sub-Saharan Africa,2015,Low income,17439,40,74,91
MLI,Mali,Sub-Saharan Africa,2020,Low income,20251,44,83,96
MLT,Malta,Middle East & North Africa,2015,High income,434,94,100,100
MLT,Malta,Middle East & North Africa,2020,High income,442,95,100,100
MHL,Marshall Islands,East Asia & Pacific,2015,Upper middle income,57,76,88,86
MHL,Marshall Islands,East Asia & Pacific,2020,Upper middle income,59,78,89,87
MRT,Mauritania,Sub-Saharan Africa,2015,Lower middle income,4046,51,67,86
MRT,Mauritania,Sub-Saharan Africa,2020,Lower middle income,4650,55,72,89
MUS,Mauritius,Sub-Saharan Africa,2015,Upper middle income,1259,41,100,100
MUS,Mauritius,Sub-Saharan Africa,2020,Upper middle income,1272,41,100,100
MEX,Mexico,Latin America & Caribbean,2015,Upper middle income,121858,79,98,100
MEX,Mexico,Latin America & Caribbean,2020,Upper middle income,128933,81,100,100
MCO,Monaco,Europe & Central Asia,2015,High income,38,100,100,100
MCO,Monaco,Europe & Central Asia,2020,High income,39,100,100,100
MNG,Mongolia,East Asia & Pacific,2015,Lower middle income,2998,68,81,94
MNG,Mongolia,East Asia & Pacific,2020,Lower middle income,3278,69,85,97
MNE,Montenegro,Europe & Central Asia,2015,Upper middle income,627,66,97,98
MNE,Montenegro,Europe & Central Asia,2020,Upper middle income,628,67,99,100
MAR,Morocco,Middle East & North Africa,2015,Lower middle income,34664,61,84,96
MAR,Morocco,Middle East & North Africa,2020,Lower middle income,36911,64,90,98
MOZ,Mozambique,Sub-Saharan Africa,2015,Low income,27042,34,51,80
MOZ,Mozambique,Sub-Saharan Africa,2020,Low income,31255,37,63,88
MMR,Myanmar,East Asia & Pacific,2015,Lower middle income,52681,30,74,88
MMR,Myanmar,East Asia & Pacific,2020,Lower middle income,54410,31,84,95
NAM,Namibia,Sub-Saharan Africa,2015,Upper middle income,2315,47,83,97
NAM,Namibia,Sub-Saharan Africa,2020,Upper middle income,2541,52,84,96
NRU,Nauru,East Asia & Pacific,2015,High income,10,100,100,100
NRU,Nauru,East Asia & Pacific,2020,High income,11,100,100,100
NPL,Nepal,South Asia,2015,Low income,27015,19,88,90
NPL,Nepal,South Asia,2020,Lower middle income,29137,21,90,90
NLD,Netherlands,Europe & Central Asia,2015,High income,16938,90,100,100
NLD,Netherlands,Europe & Central Asia,2020,High income,17135,92,100,100
NZL,New Zealand,East Asia & Pacific,2015,High income,4615,86,100,100
NZL,New Zealand,East Asia & Pacific,2020,High income,4822,87,100,100
NIC,Nicaragua,Latin America & Caribbean,2015,Lower middle income,6223,58,81,97
NIC,Nicaragua,Latin America & Caribbean,2020,Lower middle income,6625,59,82,97
NER,Niger,Sub-Saharan Africa,2015,Low income,20002,16,45,88
NER,Niger,Sub-Saharan Africa,2020,Low income,24207,17,47,86
NGA,Nigeria,Sub-Saharan Africa,2015,Lower middle income,181137,48,69,85
NGA,Nigeria,Sub-Saharan Africa,2020,Lower middle income,206140,52,78,92
MKD,North Macedonia,Europe & Central Asia,2015,Upper middle income,2079,57,97,97
MKD,North Macedonia,Europe & Central Asia,2020,Upper middle income,2083,58,98,98
NOR,Norway,Europe & Central Asia,2015,High income,5200,81,100,100
NOR,Norway,Europe & Central Asia,2020,High income,5421,83,100,100
OMN,Oman,Middle East & North Africa,2015,High income,4267,81,90,94
OMN,Oman,Middle East & North Africa,2020,High income,5107,86,92,95
PAK,Pakistan,South Asia,2015,Lower middle income,199427,36,89,94
PAK,Pakistan,South Asia,2020,Lower middle income,220892,37,90,93
PLW,Palau,East Asia & Pacific,2015,Upper middle income,18,78,100,100
PLW,Palau,East Asia & Pacific,2020,High income,18,81,100,100
PAN,Panama,Latin America & Caribbean,2015,Upper middle income,3968,67,93,98
PAN,Panama,Latin America & Caribbean,2020,Upper middle income,4315,68,94,98
PNG,Papua New Guinea,East Asia & Pacific,2015,Lower middle income,8108,13,41,85
PNG,Papua New Guinea,East Asia & Pacific,2020,Lower middle income,8947,13,45,86
PRY,Paraguay,Latin America & Caribbean,2015,Upper middle income,6689,61,97,100
PRY,Paraguay,Latin America & Caribbean,2020,Upper middle income,7133,62,100,100
PER,Peru,Latin America & Caribbean,2015,Upper middle income,30471,77,90,95
PER,Peru,Latin America & Caribbean,2020,Upper middle income,32972,78,93,97
PHL,Philippines,East Asia & Pacific,2015,Lower middle income,102113,46,92,96
PHL,Philippines,East Asia & Pacific,2020,Lower middle income,109581,47,94,97
POL,Poland,Europe & Central Asia,2015,High income,38034,60,100,100
POL,Poland,Europe & Central Asia,2020,High income,37847,60,100,100
PRT,Portugal,Europe & Central Asia,2015,High income,10368,64,100,100
PRT,Portugal,Europe & Central Asia,2020,High income,10197,66,100,100
ROU,Romania,Europe & Central Asia,2015,Upper middle income,19925,54,100,100
ROU,Romania,Europe & Central Asia,2020,Upper middle income,19238,54,100,100
RUS,Russian Federation,Europe & Central Asia,2015,Upper middle income,144985,74,97,99
RUS,Russian Federation,Europe & Central Asia,2020,Upper middle income,145934,75,97,99
RWA,Rwanda,Sub-Saharan Africa,2015,Low income,11369,17,57,80
RWA,Rwanda,Sub-Saharan Africa,2020,Low income,12952,17,60,83
WSM,Samoa,East Asia & Pacific,2015,Lower middle income,194,19,91,91
WSM,Samoa,East Asia & Pacific,2020,Lower middle income,198,18,92,92
SEN,Senegal,Sub-Saharan Africa,2015,Low income,14578,46,79,94
SEN,Senegal,Sub-Saharan Africa,2020,Lower middle income,16744,48,85,95
SRB,Serbia,Europe & Central Asia,2015,Upper middle income,8877,56,93,92
SRB,Serbia,Europe & Central Asia,2020,Upper middle income,8737,56,95,95
SLE,Sierra Leone,Sub-Saharan Africa,2015,Low income,7172,41,58,76
SLE,Sierra Leone,Sub-Saharan Africa,2020,Low income,7977,43,64,78
SGP,Singapore,East Asia & Pacific,2015,High income,5592,100,100,100
SGP,Singapore,East Asia & Pacific,2020,High income,5850,100,100,100
SLB,Solomon Islands,East Asia & Pacific,2015,Lower middle income,603,22,69,91
SLB,Solomon Islands,East Asia & Pacific,2020,Lower middle income,687,25,67,91
SOM,Somalia,Sub-Saharan Africa,2015,Low income,13797,43,49,74
SOM,Somalia,Sub-Saharan Africa,2020,Low income,15893,46,56,79
ZAF,South Africa,Sub-Saharan Africa,2015,Upper middle income,55386,65,92,99
ZAF,South Africa,Sub-Saharan Africa,2020,Upper middle income,59309,67,94,100
SSD,South Sudan,Sub-Saharan Africa,2015,Low income,10716,19,41,61
SSD,South Sudan,Sub-Saharan Africa,2020,Low income,11194,20,41,70
ESP,Spain,Europe & Central Asia,2015,High income,46672,80,100,100
ESP,Spain,Europe & Central Asia,2020,High income,46755,81,100,100
LKA,Sri Lanka,South Asia,2015,Lower middle income,20908,18,90,98
LKA,Sri Lanka,South Asia,2020,Lower middle income,21413,19,92,100
SDN,Sudan,Sub-Saharan Africa,2015,Lower middle income,38903,34,59,73
SDN,Sudan,Sub-Saharan Africa,2020,Low income,43849,35,60,74
SUR,Suriname,Latin America & Caribbean,2015,Upper middle income,559,66,96,98
SUR,Suriname,Latin America & Caribbean,2020,Upper middle income,587,66,98,99
SWE,Sweden,Europe & Central Asia,2015,High income,9765,87,100,100
SWE,Sweden,Europe & Central Asia,2020,High income,10099,88,100,100
CHE,Switzerland,Europe & Central Asia,2015,High income,8297,74,100,100
CHE,Switzerland,Europe & Central Asia,2020,High income,8655,74,100,100
SYR,Syrian Arab Republic,Middle East & North Africa,2015,Lower middle income,17997,52,94,95
SYR,Syrian Arab Republic,Middle East & North Africa,2020,Low income,17501,55,94,95
TJK,Tajikistan,Europe & Central Asia,2015,Lower middle income,8454,27,76,95
TJK,Tajikistan,Europe & Central Asia,2020,Lower middle income,9538,28,82,96
THA,Thailand,East Asia & Pacific,2015,Upper middle income,68715,48,100,100
THA,Thailand,East Asia & Pacific,2020,Upper middle income,69800,51,100,100
TLS,Timor-Leste,East Asia & Pacific,2015,Lower middle income,1196,29,75,90
TLS,Timor-Leste,East Asia & Pacific,2020,Lower middle income,1318,31,85,96
TGO,Togo,Sub-Saharan Africa,2015,Low income,7323,40,64,88
TGO,Togo,Sub-Saharan Africa,2020,Low income,8279,43,69,91
TON,Tonga,East Asia & Pacific,2015,Lower middle income,101,23,99,100
TON,Tonga,East Asia & Pacific,2020,Upper middle income,106,23,99,100
TUN,Tunisia,Middle East & North Africa,2015,Lower middle income,11180,68,95,100
TUN,Tunisia,Middle East & North Africa,2020,Lower middle income,11819,70,98,100
TKM,Turkmenistan,Europe & Central Asia,2015,Upper middle income,5565,50,98,100
TKM,Turkmenistan,Europe & Central Asia,2020,Upper middle income,6031,53,100,100
TUV,Tuvalu,East Asia & Pacific,2015,Upper middle income,11,60,100,100
TUV,Tuvalu,East Asia & Pacific,2020,Upper middle income,12,64,100,100
UGA,Uganda,Sub-Saharan Africa,2015,Low income,38225,22,48,77
UGA,Uganda,Sub-Saharan Africa,2020,Low income,45741,25,56,79
UKR,Ukraine,Europe & Central Asia,2015,Lower middle income,44922,69,94,92
UKR,Ukraine,Europe & Central Asia,2020,Lower middle income,43734,69,94,92
GBR,United Kingdom,Europe & Central Asia,2015,High income,65860,83,100,100
GBR,United Kingdom,Europe & Central Asia,2020,High income,67886,84,100,100
USA,United States of America,North America,2015,High income,320878,82,100,100
USA,United States of America,North America,2020,High income,331003,83,100,100
URY,Uruguay,Latin America & Caribbean,2015,High income,3412,95,100,100
URY,Uruguay,Latin America & Caribbean,2020,High income,3474,96,100,100
UZB,Uzbekistan,Europe & Central Asia,2015,Lower middle income,30930,51,98,100
UZB,Uzbekistan,Europe & Central Asia,2020,Lower middle income,33469,50,98,100
VUT,Vanuatu,East Asia & Pacific,2015,Lower middle income,271,25,90,100
VUT,Vanuatu,East Asia & Pacific,2020,Lower middle income,307,26,91,100
VNM,Vietnam,East Asia & Pacific,2015,Lower middle income,92677,34,93,98
VNM,Vietnam,East Asia & Pacific,2020,Lower middle income,97339,37,97,100
ZMB,Zambia,Sub-Saharan Africa,2015,Lower middle income,15879,42,61,86
ZMB,Zambia,Sub-Saharan Africa,2020,Lower middle income,18384,45,65,87
ZWE,Zimbabwe,Sub-Saharan Africa,2015,Low income,13815,32,65,94
ZWE,Zimbabwe,Sub-Saharan Africa,2020,Lower middle income,14863,32,63,93
